titulo,autor,genero,sinopse
Principe Cruel,Holly Black,Fantasia,"Jude tinha apenas sete anos quando seus pais foram brutalmente assassinados e ela, junto com suas irmãs, foi levada para viver no traiçoeiro Reino das Fadas. Dez anos depois, tudo o que Jude deseja é conquistar seu lugar na Corte, mesmo sendo uma mortal desprezada pelos feéricos. Entre intrigas, jogos políticos e perigos constantes, ela precisa enfrentar o príncipe Cardan — cruel, arrogante e imprevisível — para provar sua força. Conforme mergulha nesse universo mágico e violento, Jude descobre sua vocação para manipulação e poder, e se vê envolvida em uma trama de traições que pode mudar o destino de Elfhame"

Opúsculo Humanitário,Nísia Floresta,Ensaio,"Uma obra pioneira do pensamento feminista no Brasil, onde Nísia Floresta defende os direitos das mulheres à educação e à participação social. Com linguagem firme e argumentos progressistas para a época, o texto propõe uma reflexão sobre o papel feminino na sociedade patriarcal do século XIX."

Nebulosas,Narcisa Amália,Poesia,"Coletânea de poemas que exploram os sentimentos humanos com intensidade e lirismo. Narcisa Amália aborda temas como amor, dor, liberdade e injustiça, revelando uma voz feminina forte e crítica em meio ao contexto literário dominado por homens."

Memórias de Martha,Julia Lopes de Almeida,Romance,"Narrativa intimista que acompanha a vida de Martha, uma mulher que enfrenta os dilemas da maternidade, do casamento e da autonomia pessoal. A obra revela os conflitos internos da protagonista e denuncia as limitações impostas às mulheres da época."

Caminho de pedras,Rachel de Queiroz,Romance,"Romance que retrata a trajetória de uma jovem nordestina em busca de independência e identidade. Com estilo direto e sensível, Rachel de Queiroz constrói uma personagem marcada pela luta contra as adversidades sociais e familiares."

O Cristo Cigano,Sophia de Mello Breyner Andresen,Poesia,"Poema épico que mistura elementos religiosos e míticos para narrar a figura de um Cristo errante, livre e marginal. A obra propõe uma releitura simbólica da espiritualidade, com forte carga lírica e crítica social"

As meninas,Lygia Fagundes Telles,Romance,"Três jovens universitárias compartilham um apartamento em São Paulo durante a ditadura militar. A narrativa entrelaça suas histórias, revelando conflitos pessoais, políticos e afetivos, num retrato profundo da juventude brasileira em tempos de repressão."

Balada de amor ao vento,Paulina Chiziane,Romance,"Romance moçambicano que acompanha a vida de uma mulher em meio a relações amorosas marcadas por desigualdade e violência. Com linguagem poética e crítica, a obra denuncia o machismo estrutural e celebra a força feminina."

Canção para ninar menino grande,Conceição Evaristo,Conto,"Narrativa curta e potente que aborda a relação entre mãe e filho em um contexto de desigualdade racial e social. Com estilo afetuoso e contundente, Conceição Evaristo constrói uma voz literária marcada pela ancestralidade e resistência."

A visão das plantas,Djaimilia Pereira de Almeida,Romance,"Um homem retorna à sua terra natal após anos de ausência e reflete sobre sua vida, suas perdas e o impacto da guerra colonial. A narrativa é fragmentada e poética, com uma perspectiva sensível sobre memória, identidade e reconciliação."

Prosas seguidas de odes mínimas,José Paulo Paes,Poesia,"Coletânea que reúne textos em prosa poética e poemas curtos, explorando temas como memória, cotidiano, política e existência. Com linguagem concisa e reflexiva, José Paulo Paes transforma momentos banais em reflexões universais, revelando a força da simplicidade literária."

Olhos d’água,Conceição Evaristo,Contos,"Reunião de quinze contos que retratam a vida de personagens negras em situações de vulnerabilidade social, afetiva e econômica. Com escrita sensível e potente, Conceição Evaristo dá voz a mulheres silenciadas, revelando histórias de dor, resistência e ancestralidade."

A vida não é útil,Ailton Krenak,Ensaio,"Obra que questiona o modelo de vida ocidental baseado em produtividade, consumo e separação da natureza. Ailton Krenak propõe uma reflexão sobre o sentido da existência, a espiritualidade indígena e a urgência de repensarmos nossa relação com o planeta e com o tempo."

Casa Velha,Machado de Assis,Romance,"Narrativa ambientada no período do Primeiro Reinado, onde um padre investiga documentos históricos em uma antiga casa. A trama revela os conflitos e segredos dos moradores, expondo as contradições da sociedade brasileira do século XIX com o estilo irônico e crítico de Machado."

Vida e morte de M.J. Gonzaga de Sá,Lima Barreto,Romance,"A história de um funcionário público excêntrico e seu jovem discípulo, ambientada no Rio de Janeiro do início do século XX. Lima Barreto constrói uma crítica social sobre burocracia, desigualdade e intelectualismo, com uma narrativa marcada pela melancolia e pela lucidez."

Morangos mofados,Caio Fernando Abreu,Contos,"Coletânea de contos que exploram temas como sexualidade, solidão, desejo e opressão durante a Ditadura Militar. Com linguagem lírica e fragmentada, Caio Fernando Abreu mergulha nos conflitos internos de personagens marginalizados, revelando a angústia de viver em tempos sombrios."

Alice no país das maravilhas,Lewis Carroll,Fantasia,"Clássico da literatura nonsense, onde Alice cai em um mundo absurdo e encantado. A obra subverte a lógica da realidade com personagens excêntricos e situações surreais, criando uma crítica bem-humorada à sociedade vitoriana e às convenções sociais da época."

No Seu Pescoço,Chimamanda Ngozi Adichie,Contos,"Coletânea de contos que abordam temas como imigração, desigualdade racial, conflitos religiosos e relações familiares. Com estilo direto e envolvente, Chimamanda constrói narrativas que revelam a complexidade da experiência africana e da diáspora em contextos contemporâneos."

Canções Escolhidas,Cartola,Música,"Seleção de composições do mestre do samba, Cartola, que revelam lirismo, melancolia e beleza poética. As letras abordam amor, saudade e cotidiano com profundidade emocional e musicalidade refinada, consolidando Cartola como um dos maiores nomes da música brasileira."

1984,George Orwell,Distopia,"Romance distópico que retrata uma sociedade totalitária onde o Estado controla todos os aspectos da vida. Winston Smith, funcionário do Partido, começa a questionar a realidade imposta e busca liberdade em meio à vigilância constante e à manipulação da verdade."

Jogos Vorazes,Suzanne Collins,Distopia,"Em um futuro pós-apocalíptico, jovens são forçados a participar de um jogo mortal transmitido como entretenimento. Katniss Everdeen se torna símbolo de resistência ao desafiar o sistema opressor, enfrentando dilemas morais e políticos em busca de justiça."

Laranja Mecânica,Anthony Burgess,Distopia,"Narrativa provocadora sobre Alex, um jovem violento em uma sociedade futurista marcada por controle estatal e decadência moral. A obra explora temas como livre-arbítrio, reabilitação forçada e a natureza humana, com linguagem inventiva e impactante."

Harry Potter,J.K. Rowling,Fantasia,"Saga que acompanha Harry, um jovem bruxo, desde sua entrada em Hogwarts até o confronto final com o vilão Voldemort. Com elementos de magia, amizade e coragem, a série constrói um universo rico e envolvente que marcou gerações de leitores."

Assim que acaba,Colleen Hoover,Romance,"Lily Bloom vive um relacionamento intenso com Ryle, mas precisa confrontar traumas do passado e decisões difíceis. A obra aborda temas como abuso, superação e amor próprio, com narrativa emocional e sensível."

Novembro 9,Colleen Hoover,Romance,"Fallon e Ben se encontram todo dia 9 de novembro, criando uma conexão profunda ao longo dos anos. A história explora o poder das palavras, do tempo e das escolhas, revelando segredos que desafiam o destino do casal."

O lado feio do amor,Colleen Hoover,Romance,"Tate e Miles vivem uma relação baseada em atração física, mas marcada por segredos e dor. A narrativa alterna passado e presente, revelando as razões de Miles para evitar o amor, enquanto Tate tenta lidar com seus próprios sentimentos."

Até o verão acabar,Colleen Hoover,Romance,"Uma história sobre amadurecimento, perdas e descobertas durante um verão transformador. A protagonista enfrenta mudanças familiares e afetivas, aprendendo a lidar com emoções intensas e a encontrar força em meio ao caos."

A garota do lago,Charlie Donlea,Suspense,"Becca Eckersley, uma estudante promissora, é encontrada morta em uma cidade tranquila. A jornalista Kelsey investiga o caso, revelando segredos sombrios e conexões inesperadas. O suspense cresce à medida que verdades ocultas vêm à tona."

Nunca saia sozinho,Charlie Donlea,Suspense,"Dois casos de desaparecimento se entrelaçam em uma trama cheia de reviravoltas. A investigação revela pistas perturbadoras e personagens ambíguos, enquanto o mistério se aprofunda em torno de uma escola prestigiada e seus segredos."

Uma mulher na escuridão,Charlie Donlea,Suspense,"Rory Moore, especialista em reconstrução de perfis criminais, investiga o caso de uma mulher assassinada há décadas. A narrativa alterna entre passado e presente, revelando conexões inquietantes e um mistério que desafia a lógica"

Maze Runner,James Dashner,Distopia,"Thomas acorda em um lugar cercado por um labirinto mortal, sem memória de sua vida anterior. Junto a outros jovens, ele precisa desvendar os segredos do local e encontrar uma saída. A trama mistura ação, suspense e mistério em um cenário pós-apocalíptico."

O Ceifador,Neal Shusterman,Distopia,"Em um futuro onde a morte foi erradicada, ceifadores são responsáveis por controlar o crescimento populacional. Citra e Rowan são escolhidos como aprendizes, mas apenas um poderá se tornar ceifador. A obra levanta questões éticas sobre vida, poder e humanidade."

A Seleção,Kiera Cass,Romance distópico,"Em uma sociedade dividida por castas, 35 garotas são escolhidas para disputar o coração do príncipe Maxon. America Singer, vinda de uma casta inferior, entra na competição sem grandes expectativas, mas acaba envolvida em um dilema entre o amor e o dever."

Missão Impossível,Charlie Higson,Aventura,"Um grupo de jovens agentes secretos enfrenta uma missão de alto risco para impedir uma ameaça global. Com ação intensa, tecnologia e reviravoltas, a trama acompanha estratégias ousadas e decisões difíceis em um mundo onde nada é o que parece."

A Biblioteca da Meia-Noite,Matt Haig,Ficção,"Nora Seed descobre uma biblioteca entre a vida e a morte, onde cada livro representa uma vida que ela poderia ter vivido. Ao explorar essas possibilidades, ela reflete sobre arrependimentos, escolhas e o valor da existência. Uma história tocante sobre propósito e esperança."

Divergente,Veronica Roth,Distopia,"Em uma sociedade dividida por facções Beatrice Prior descobre que é divergente alguém que não se encaixa em nenhuma categoria. Ao tentar esconder sua identidade, ela se envolve em uma conspiração que ameaça destruir tudo o que conhece."

A Culpa é das Estrelas,John Green,Romance,"Hazel Grace, uma jovem com câncer, conhece Augustus Waters em um grupo de apoio. Juntos, vivem uma história de amor intensa e sensível, marcada por reflexões sobre a vida, a morte e o significado de deixar uma marca no mundo."

Quem é Você, Alasca?,John Green,Romance,"Miles Halter entra em um colégio interno em busca do 'Grande Talvez' e conhece Alasca Young, uma garota enigmática e impulsiva. A amizade entre eles se transforma em algo mais profundo, até que um acontecimento trágico muda tudo. Uma história sobre amadurecimento e perda."

Tartarugas Até Lá Embaixo,John Green,Romance,"Aza Holmes, uma adolescente com transtorno obsessivo-compulsivo, se envolve na investigação do desaparecimento de um bilionário. Enquanto lida com sua saúde mental, ela tenta manter amizades, viver o amor e entender a si mesma em meio ao caos interior."

O Auto da Compadecida,Ariano Suassuna,Teatro,"Comédia dramática que mistura elementos da cultura nordestina com crítica social e religiosa. João Grilo e Chicó, dois personagens astutos, enfrentam situações absurdas e hilárias, culminando em um julgamento celestial que questiona moralidade e justiça."

O Auto da Barca do Inferno,Gil Vicente,Teatro,"Peça alegórica do teatro português que retrata o julgamento de almas após a morte. Personagens simbólicos tentam embarcar na barca do céu ou do inferno, revelando vícios e virtudes da sociedade medieval com humor e crítica moral."

Vinte Mil Léguas Submarinas,Júlio Verne,Ficção científica,"O professor Aronnax embarca em uma expedição marítima e acaba prisioneiro do misterioso Capitão Nemo a bordo do submarino Nautilus. A aventura subaquática revela maravilhas do oceano e reflexões sobre ciência, liberdade e isolamento."

A Volta ao Mundo em 80 Dias,Júlio Verne,Aventura,"Phileas Fogg aposta que pode dar a volta ao mundo em 80 dias, enfrentando desafios e imprevistos ao lado de seu fiel criado Passepartout. A narrativa combina ação, geografia e crítica ao imperialismo com humor e engenhosidade."

O Primo Basílio,Eça de Queiroz,Romance,"Jorge e Luísa vivem um casamento tranquilo até a chegada de Basílio, primo da protagonista, que reacende uma paixão antiga. O romance expõe a hipocrisia da burguesia lisboeta e os conflitos entre desejo, aparência e moralidade."

Vestido de Noiva,Nelson Rodrigues,Teatro,"Peça inovadora que mistura realidade, memória e alucinação para narrar o drama de Alaíde, uma mulher hospitalizada após um acidente. A estrutura fragmentada revela segredos, traumas e desejos reprimidos, marcando o teatro moderno brasileiro."

Quarto de Despejo,Carolina Maria de Jesus,Biografia,"Diário real de uma mulher negra e favelada que registra seu cotidiano em condições precárias. Com escrita direta e comovente, Carolina denuncia a fome, a exclusão e a luta por dignidade, tornando-se símbolo de resistência e voz marginalizada."

Minha História,Michelle Obama,Biografia,"Autobiografia da ex-primeira-dama dos Estados Unidos, onde ela narra sua infância, carreira, vida familiar e trajetória política. Com honestidade e inspiração, Michelle compartilha desafios e conquistas, defendendo educação, igualdade e empatia."

Ideias para Adiar o Fim do Mundo,Ailton Krenak,Ensaio,"Reflexão sobre a crise ambiental e o modelo de vida ocidental. Ailton Krenak propõe uma reconexão com a natureza e os saberes ancestrais indígenas, questionando o progresso e defendendo uma existência mais sensível e coletiva."

Becos da Memória,Conceição Evaristo,Romance,"Narrativa que retrata a vida em uma favela por meio de múltiplas vozes femininas. A obra mistura memória, dor e resistência, revelando a força das mulheres negras diante da exclusão social e da violência urbana."

O Pequeno Príncipe,Antoine de Saint-Exupéry,Fábula,"Um piloto encontra um menino vindo de outro planeta, que compartilha histórias sobre sua jornada e encontros com figuras simbólicas. A obra filosófica aborda temas como amizade, amor, perda e o olhar infantil sobre o mundo adulto."

Menino Maluquinho,Ziraldo,Infantil,"História de um garoto criativo, bagunceiro e cheio de imaginação, que vive aventuras com os amigos e a família. Com humor e ternura, o livro celebra a infância, a liberdade e os pequenos grandes momentos da vida."